#name,Type,P(Ia|LC)
COS12her,CC,0.05
COS12car,Ia,0.75
COS12aid,CC,0.00
COS12cli,Ia?,0.79
COS12eis,Ia,0.57
COS12ken,CC,0.00
COS12mik,CC,0.01
COS12mon,Ia?,0.11
COS12rea,CC,0.01
COS12tru,CC,0.16
EGS11nix,CC?,0.03
EGS11tyl,Ia,0.65
EGS13tan,Ia,0.14
EGS13cha,Ia,0.04
EGS13rut,Ia,1.00
EGS11oba,CC,0.00
EGS11per,Ia,0.96
EGS11tho,Ia,0.87
EGS13wai,Ia,0.51
GND12whe,CC,0.25
GND12bur,??,0.00
GND12kin,CC?,0.05
GND13sto,Ia?,0.90
GND12daw,CC,0.23
GND12col,Ia?,0.90
GND13gar,Ia?,0.05
GND13jay,Ia?,0.90
GND12bre,CC?,0.00
GND12cal,Ia,1.00
GND13war,Ia?,0.10
GND13cam,Ia?,0.99
GND12fai,CC,0.00
GND12tom,CC?,0.69
GND13bid,??,0.00
GND13ful,??,0.00
GND13reh,CC?,0.25
GND13roy,CC?,0.25
GND13she,Ia?,0.75
GND13vin,??,0.50
GNW12ger,??,0.50
GNW12gor,??,0.50
GND13fin,??,0.72
GND13wol,??,0.40
GSD11Bus,Ia,0.90
GSD11Van,CC,0.01
GSD11Was,Ia,1.00
GSD12Roc,CC,0.00
GSD10Pri,Ia,1.00
GSD10Tum,CC,0.00
GSD11Ada,CC,0.00
GSD11Buc,CC,0.01
GSD11For,Ia,0.68
GSD11Har,Ia,0.51
GSD11Lin,CC,0.00
GSD11Mad,Ia,1.00
GSD11Roo,CC,0.81
GSD11Tay,CC,0.06
GSD11Wor,Ia,1.00
GSD12Agn,Ia,0.62
GSD12Hum,CC?,0.24
GSD12Qua,CC,0.08
GSW11Jac,CC,0.13
UDS11Hug,Ia,0.58
UDS10Wil,Ia,1.00
UDS11Gar,Ia?,0.25
