#name,a.k.a.,type
2003al,enki,Ia
2002fx,athena,Ia
2002ht,osiris,Ia
2002fy,hades,Ia
2002kd,frodo,Ia
2002hr,isis,Ia
2002hp,thoth,Ia
2002ga,atlas,Ia
2002kc,bilbo,"Ia, reddened"
2002lg,prometheus,Ia
2002fw,aphrodite,Ia
2003aj,inanna,Ia
2003ak,gilgamesh,Ia
2003eu,lennon,Ia
2002kh,balder,Ia
2003be,qiqirn,Ia
2003es,ramone,Ia
2003dy,borg,Ia
2003eb,mcenroe,"Ia, 91T?"
2003az,torngasak,Ia
2003bd,anguta,Ia
2002ki,nanna,Ia
2003eq,elvis,Ia
K0404-002,Pele,Ia
K0404-001,Adu,"Ia, old"
K0404-007,Zamorano,Ia
K0404-009,Teak,Ia
K0405-003,Yowie,Ia
K0405-004,Manipogo,Ia
K0405-006,Sasquatch,Ia
K0405-009,ThunderBird,Ia
HST04Pot,Potomac,Ia
HST04Tha,Thames,Ia
HST04Mcg,Mcguire,Ia
HST04Gre,Greenburg,ia
HST04Haw,Hawk,Ia
HST04Eag,Eagle,Ia
HST04Sam,Sam Adams,Ia
HST04Lei,Leinenkugel,Ia
HST04Pet,Pete's Wicked,Ia
HST04Lek,Leksvik,Ia
HST04Kur,Kurage,Ia
HST04Pyr,Pyra,Ia
HST04Rak,Rakke,Ia
HST04Omb,Ombo,Ia
HST05Spo,Spock,Ia
HST05Zwi,zwicky,Ia
HST05Gal,galileo,Ia
HST05Red,Redford,Ia
HST05Lan,Lancaster,Ia
HST05Dic,Dickinson,Ia
HST05Gab,Gabi,Ia
HST05Str,Strolger,Ia
HST05Koe,Koekemoer,Ia
HST05Fer,Ferguson,Ia
